Symbol,Date,Adj Close
IBM,12/30/09,99.389305
MSFT,10/23/17,76.490349
MSFT,4/6/15,37.82069
MSFT,8/31/10,18.869207
IBM,5/9/16,130.246368
IBM,3/9/15,133.556549
IBM,7/6/10,93.449966
MSFT,1/22/14,31.608477
IBM,9/17/14,157.967972
AAPL,6/8/09,18.002392
AAPL,9/19/17,154.561386
MSFT,1/6/15,41.25906
MSFT,7/20/11,22.162842
AAPL,1/19/16,90.941513
AAPL,9/26/18,217.876511
AAPL,5/29/12,71.617897
AAPL,8/6/09,20.512846
IBM,11/28/12,151.675323
IBM,6/20/14,147.875946
MSFT,12/10/12,23.003691
MSFT,5/8/12,25.493986
AAPL,3/15/12,73.281075
IBM,3/18/10,96.67849
IBM,10/23/17,147.640518
IBM,4/15/10,98.56868
IBM,11/10/17,139.40567
MSFT,4/22/10,24.98999
MSFT,11/28/12,23.362326
MSFT,5/26/15,42.683933
IBM,5/19/15,146.324402
IBM,10/17/12,157.818619
MSFT,8/30/11,21.618643
MSFT,7/14/10,20.344505
IBM,4/23/13,152.020187
IBM,8/1/14,154.066254
AAPL,1/17/18,175.023361
AAPL,6/17/16,90.725914
IBM,11/3/16,135.856079
AAPL,5/20/10,29.754946
AAPL,7/5/11,43.730106
MSFT,3/7/17,61.803211
MSFT,3/20/12,26.739428
AAPL,7/17/13,55.008579
IBM,9/13/12,162.325928
AAPL,1/16/14,71.736649
MSFT,7/18/18,103.440285
IBM,11/12/15,114.207527
IBM,11/28/11,141.57309
IBM,7/30/14,158.016693
IBM,12/12/11,149.319565
IBM,8/19/15,130.920959
IBM,5/28/13,165.621872
MSFT,10/12/15,43.343502
MSFT,9/23/16,54.414532
MSFT,9/25/17,71.085655
IBM,10/15/18,136.133118
IBM,5/17/17,138.20372
IBM,4/6/15,134.611588
IBM,10/26/09,89.645561
IBM,5/30/18,136.09996
AAPL,7/19/13,54.323383
AAPL,12/2/13,71.345749
IBM,3/18/13,169.157257
AAPL,2/10/10,24.418684
AAPL,3/5/15,117.400566
AAPL,4/23/10,33.893559
MSFT,4/27/12,26.731071
MSFT,10/19/12,24.255981
MSFT,5/3/13,28.833414
MSFT,12/30/09,24.532942
IBM,2/29/12,153.450012
IBM,8/20/18,141.322617
IBM,1/18/11,115.105042
IBM,12/16/11,142.629807
MSFT,12/31/18,100.765076
IBM,8/25/10,95.289825
MSFT,3/2/16,49.512703
AAPL,7/28/15,115.065125
AAPL,12/15/11,47.423199
IBM,4/28/09,75.337448
MSFT,5/14/14,35.917152
AAPL,4/26/12,76.051834
MSFT,10/27/11,22.45932
MSFT,1/4/10,24.525019
IBM,9/18/17,133.760147
IBM,3/3/10,95.548859
IBM,1/15/09,61.831436
MSFT,7/23/15,42.244175
IBM,9/14/16,137.354004
IBM,8/13/15,131.882004
IBM,8/18/16,143.871765
AAPL,7/1/11,42.957966
MSFT,5/16/13,29.547127
AAPL,8/13/12,79.181114
AAPL,6/5/12,70.436493
MSFT,5/28/15,43.471828
AAPL,10/27/10,38.523998
MSFT,9/13/18,111.533379
MSFT,11/15/12,22.764605
IBM,10/20/17,149.972382
AAPL,9/14/18,221.25705
MSFT,3/1/11,21.286194
AAPL,8/25/11,46.769939
MSFT,1/28/14,31.907589
IBM,2/6/09,71.051025
IBM,8/8/12,156.560028
MSFT,5/25/16,49.077465
MSFT,10/1/13,29.318779
IBM,7/26/12,151.915436
AAPL,3/1/16,95.095795
MSFT,11/7/16,57.24754
AAPL,10/6/16,108.9767
AAPL,2/17/15,118.71933
AAPL,1/24/12,52.613056
IBM,6/1/09,80.50779
MSFT,7/7/14,37.479153
AAPL,6/9/16,94.837273
MSFT,12/27/18,100.378166
AAPL,10/26/15,107.997643
IBM,4/4/18,145.459503
AAPL,8/1/13,58.379593
MSFT,12/7/15,51.815018
MSFT,12/3/14,43.45533
AAPL,11/11/11,48.134045
MSFT,10/18/12,24.984335
IBM,10/23/12,150.440155
MSFT,6/20/12,26.023052
IBM,10/29/14,133.928665
IBM,8/10/18,139.364487
AAPL,4/3/14,70.153061
MSFT,9/29/11,20.975775
AAPL,12/3/14,107.244217
MSFT,11/18/11,21.009157
IBM,8/26/11,130.891861
AAPL,1/28/16,88.523552
IBM,5/11/10,96.046219
AAPL,12/27/10,40.63274
IBM,11/16/17,139.368271
IBM,5/24/13,163.979858
MSFT,3/16/16,50.821819
IBM,12/8/16,148.775772
MSFT,5/1/18,93.078545
AAPL,1/4/18,169.091522
AAPL,10/26/18,213.804077
MSFT,2/19/16,48.456059
AAPL,8/9/10,32.757225
IBM,10/2/18,148.306274
AAPL,11/30/09,25.018137
MSFT,9/2/15,39.986687
MSFT,8/16/13,27.764652
MSFT,2/13/14,33.086418
MSFT,7/22/15,41.721962
IBM,7/26/11,140.949661
MSFT,7/6/10,19.048981
AAPL,6/25/12,71.430168
MSFT,11/25/13,33.11282
IBM,9/3/09,86.824333
AAPL,4/18/17,136.391006
AAPL,7/19/10,30.73361
MSFT,3/25/15,37.738766
AAPL,6/30/17,139.689148
IBM,3/11/11,124.596985
MSFT,11/8/18,110.38752
IBM,5/25/10,94.252327
AAPL,3/18/09,12.704923
MSFT,3/19/14,34.805813
IBM,3/16/15,130.49115
AAPL,6/5/15,119.979965
IBM,3/7/14,151.984039
MSFT,5/17/11,20.082514
AAPL,6/18/09,17.004972
AAPL,2/11/13,60.94833
MSFT,7/28/10,20.752356
MSFT,12/6/11,21.308105
AAPL,9/15/15,108.934486
MSFT,4/21/15,38.812855
MSFT,6/15/12,25.257414
AAPL,5/27/16,95.503456
AAPL,7/19/11,47.161648
MSFT,12/3/09,23.637516
MSFT,2/6/13,23.345243
MSFT,6/26/15,41.465439
IBM,3/27/17,157.578522
AAPL,2/18/10,25.396086
MSFT,8/8/13,28.515402
IBM,2/21/17,163.463821
IBM,8/15/18,138.814667
IBM,8/24/11,129.050034
MSFT,9/27/18,113.015083
AAPL,11/5/13,67.614296
MSFT,2/5/18,85.817009
MSFT,3/13/13,24.037889
AAPL,10/26/09,25.339767
IBM,5/12/17,137.690933
MSFT,9/21/12,26.415649
AAPL,10/23/12,77.089745
MSFT,6/18/14,37.17569
AAPL,3/11/14,69.801514
IBM,7/6/18,135.96637
MSFT,3/4/16,48.652424
AAPL,5/4/16,89.098503
MSFT,4/7/17,63.031605
MSFT,3/2/17,61.428928
MSFT,10/16/14,38.386864
IBM,1/13/14,148.320389
IBM,11/7/14,133.698624
AAPL,1/22/15,103.978683
MSFT,3/5/10,22.76088
MSFT,6/24/14,37.264938
MSFT,1/20/16,47.154358
MSFT,7/18/11,21.777899
IBM,11/21/16,146.445526
AAPL,12/20/10,40.32362
IBM,6/25/12,151.061646
IBM,7/13/17,140.676086
IBM,3/25/15,132.252304
MSFT,11/7/13,32.741333
AAPL,1/20/17,115.412643
AAPL,6/2/10,33.032555
AAPL,3/23/10,28.578577
AAPL,2/27/09,11.176879
IBM,8/24/09,89.055939
AAPL,7/8/10,32.299198
MSFT,5/20/16,47.665024
IBM,11/11/16,145.096008
AAPL,1/27/09,11.354589
MSFT,1/22/09,13.247415
IBM,1/22/16,105.159515
MSFT,11/24/10,20.522078
IBM,12/7/18,116.580742
AAPL,1/13/10,26.362217
AAPL,1/13/15,101.962006
IBM,8/31/09,88.108047
AAPL,1/21/11,40.888023
IBM,1/14/13,152.180954
MSFT,2/26/10,22.824564
IBM,1/27/10,94.711105
AAPL,2/10/14,68.877052
AAPL,6/21/13,52.859688
MSFT,9/10/18,108.04641
IBM,12/3/18,122.412712
AAPL,9/13/12,85.839882
AAPL,4/2/14,70.642632
IBM,5/2/12,162.287491
MSFT,3/28/14,35.718719
MSFT,6/16/17,67.562454
MSFT,5/31/12,24.559099
AAPL,5/19/15,121.304276
AAPL,11/9/16,106.641281
AAPL,8/25/16,102.929344
MSFT,1/6/14,31.784431
AAPL,6/14/16,92.753036
AAPL,10/5/16,108.172951
IBM,2/11/09,70.326759
AAPL,12/20/12,65.872772
AAPL,12/7/09,23.64653
